Date,Open,High,Low,Close,Adj Close,Volume
2017-08-03,1240.000000,1251.000000,1233.224976,1244.724976,1136.767090,1882548
2017-08-04,1245.400024,1264.150024,1244.000000,1261.400024,1151.996216,1387890
2017-08-07,1258.250000,1260.000000,1240.599976,1251.724976,1143.160400,1885520
2017-08-08,1256.000000,1264.300049,1248.150024,1251.525024,1142.977539,1073958
2017-08-09,1250.000000,1261.425049,1246.650024,1256.000000,1147.064697,992946
2017-08-10,1254.500000,1260.300049,1243.175049,1255.724976,1146.813477,1526172
2017-08-11,1249.949951,1267.500000,1241.500000,1248.025024,1139.781006,1394736
2017-08-14,1251.500000,1254.949951,1231.500000,1234.699951,1127.611938,786504
2017-08-16,1242.000000,1271.900024,1232.599976,1246.175049,1138.091553,1373340
2017-08-17,1250.349976,1252.500000,1231.050049,1242.824951,1135.032104,1752374
2017-08-18,1237.000000,1274.949951,1235.699951,1256.900024,1147.886353,2837356
2017-08-21,1252.750000,1274.500000,1247.150024,1264.400024,1154.735840,2304834
2017-08-22,1261.500000,1269.750000,1246.000000,1248.775024,1140.466309,1131326
2017-08-23,1252.500000,1258.400024,1236.574951,1244.724976,1136.767090,1562272
2017-08-24,1248.849976,1258.974976,1243.074951,1248.300049,1140.032349,1623908
2017-08-28,1252.300049,1252.699951,1230.500000,1243.650024,1135.785767,2036796
2017-08-29,1241.000000,1248.000000,1231.974976,1235.425049,1128.274170,1312602
2017-08-30,1240.500000,1245.000000,1230.050049,1242.275024,1134.530151,970782
2017-08-31,1242.500000,1252.199951,1233.324951,1248.175049,1139.918335,1784664
2017-09-01,1240.000000,1249.025024,1218.275024,1228.224976,1121.698486,1702330
2017-09-04,1226.550049,1230.500000,1219.000000,1228.099976,1121.584351,1062544
2017-09-05,1230.000000,1245.000000,1218.525024,1242.175049,1134.438721,1165994
2017-09-06,1234.074951,1237.425049,1225.000000,1226.599976,1120.214478,1228764
2017-09-07,1229.000000,1234.199951,1225.525024,1230.050049,1123.365234,870636
2017-09-08,1226.875000,1237.000000,1226.275024,1235.300049,1128.159912,1021134
2017-09-11,1235.599976,1241.474976,1225.000000,1227.224976,1120.785400,732764
2017-09-12,1236.949951,1248.500000,1228.500000,1244.224976,1136.310547,1396460
2017-09-13,1250.000000,1265.824951,1237.599976,1244.599976,1136.653320,1278980
2017-09-14,1241.000000,1248.800049,1235.949951,1243.474976,1135.625732,1081510
2017-09-15,1249.500000,1258.500000,1242.500000,1253.025024,1144.347534,2944072
